species,card_short_name,count,gene_list
Enterobacter cloacae,APH(3'')-Ib,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,AAC(6')-Ib4,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,QnrB68,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,Ecol_catII,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,eptB,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,ANT(3'')-IIa,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,APH(3')-Ia,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,LAP-2,2,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,AAC(6')-Ib',1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
Enterobacter cloacae,catB3,1,"['Ecol_EFTu_PLV', 'tet(A)', 'Ecol_catII', 'aadA16', 'OXA-1', 'QnrS1', 'armA', 'rsmA', 'aadA12', 'MCR-9.1', 'catB3', 'QnrB68', ""AAC(6')-Ib9"", 'qacE', 'sul1', ""AAC(6')-Ib7"", 'CRP', 'FosA2', ""APH(3'')-Ib"", ""ANT(3'')-IIa"", ""APH(3')-Ia"", 'LAP-2', 'eptB', ""AAC(6')-Ib'"", ""AAC(6')-Ib4""]"
